INFO  2017-09-28 10:56:02,630 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-28 10:56:02,630 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio ToPlainTextRecursive()
INFO  2017-09-28 10:56:02,630 [10   ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine ToPlainTextRecursive()

INFO  2017-09-28 10:56:26,012 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-28 10:57:03,096 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-28 10:57:03,096 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-28 10:57:03,111 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
INFO  2017-09-28 10:57:03,111 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio ToPlainTextRecursive()
INFO  2017-09-28 10:57:03,111 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine ToPlainTextRecursive()

INFO  2017-09-28 10:57:10,565 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-28 15:27:54,342 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-28 15:27:54,357 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Inizio Creazione
INFO  2017-09-28 15:27:54,420 [9    ] MIConsoleTester.Program                  - MariniImpiantoDataManager - Fine Creazione
